epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62441,1.01942,1.89164,2.33456,1.03128,0.99847,0.5,0.49838,0.41115,0.99847,0.5,0.49861,0.42367,1.1089,1.6558,2.84566,0.97551,0.000545182,0.000545182,0.000545182
2,15.4287,0.91037,1.44471,1.33802,0.94557,0.64189,0.51786,0.60478,0.45087,0.64436,0.51786,0.54083,0.42822,1.16437,1.47076,1.71483,1.04412,0.00107905,0.00107905,0.00107905
3,23.1255,0.95766,1.28476,1.20168,0.96283,0.69701,0.67861,0.65467,0.46748,0.60954,0.60714,0.58807,0.47696,1.12265,1.40806,1.28419,1.00703,0.00159092,0.00159092,0.00159092
4,29.7424,0.84823,1.13376,1.03141,0.93923,0.62391,0.69643,0.62841,0.45445,0.64205,0.61905,0.60729,0.46395,1.02486,1.48971,0.96897,1.00617,0.00156798,0.00156798,0.00156798
5,36.5599,0.82542,1.07649,0.98092,0.93887,0.737,0.72619,0.6935,0.53374,0.64125,0.68452,0.61919,0.45789,0.8489,1.37402,0.87728,0.93555,0.00153497,0.00153497,0.00153497
6,43.3215,0.80921,1.06475,0.89784,0.92998,0.70008,0.70238,0.68426,0.52466,0.64253,0.69046,0.64039,0.46172,0.92485,1.33655,0.94323,0.95439,0.00150197,0.00150197,0.00150197
7,50.1641,0.77662,1.08879,0.84362,0.90742,0.69505,0.68452,0.63789,0.47386,0.67686,0.66447,0.64002,0.46527,0.91048,1.37413,0.82619,0.93867,0.00146896,0.00146896,0.00146896
8,56.8663,0.75634,1.01078,0.79895,0.90274,0.69914,0.72619,0.65996,0.48597,0.68698,0.7619,0.64954,0.4625,0.88849,1.19698,0.8301,0.96037,0.00143595,0.00143595,0.00143595
9,63.6324,0.73839,0.96776,0.76122,0.90678,0.72901,0.70833,0.71612,0.53992,0.69284,0.67262,0.66117,0.48248,0.87231,1.20498,0.68415,0.94471,0.00140295,0.00140295,0.00140295
10,70.5478,0.72434,1.02921,0.71622,0.8975,0.75827,0.75,0.71867,0.53535,0.66722,0.68213,0.62348,0.45288,0.88812,1.30271,0.72588,0.91929,0.00136994,0.00136994,0.00136994
11,77.1815,0.70804,1.00587,0.69716,0.89888,0.73665,0.70833,0.70718,0.53572,0.68274,0.64286,0.63831,0.46722,0.83453,1.24999,0.75532,0.92936,0.00133693,0.00133693,0.00133693
12,83.9713,0.67266,0.95627,0.66073,0.89423,0.77831,0.76331,0.74865,0.54521,0.70846,0.66667,0.65815,0.46722,0.85799,1.08619,0.67472,0.91721,0.00130393,0.00130393,0.00130393
13,90.6317,0.65819,0.89728,0.6393,0.88163,0.76717,0.75595,0.72659,0.54761,0.66995,0.73214,0.63835,0.47959,0.83356,1.21463,0.61046,0.92469,0.00127092,0.00127092,0.00127092
14,97.3587,0.6441,0.9564,0.60318,0.88126,0.69426,0.76013,0.70612,0.54644,0.687,0.67857,0.68857,0.50053,0.67748,1.26467,0.61339,0.88966,0.00123791,0.00123791,0.00123791
15,103.877,0.65483,0.89067,0.59397,0.86972,0.76275,0.75,0.73156,0.55764,0.73456,0.66667,0.6474,0.47519,0.76467,1.4404,0.58275,0.90322,0.00120491,0.00120491,0.00120491
16,110.379,0.59468,0.7962,0.55162,0.86079,0.80083,0.75595,0.78081,0.58677,0.75691,0.70238,0.69072,0.48833,0.76901,1.19802,0.62579,0.89042,0.0011719,0.0011719,0.0011719
17,116.901,0.62615,0.87967,0.56003,0.88211,0.74486,0.81468,0.73563,0.55918,0.71577,0.72024,0.67665,0.47663,0.73409,1.20322,0.57196,0.89022,0.00113889,0.00113889,0.00113889
18,123.495,0.59088,0.85958,0.54121,0.87317,0.78222,0.79167,0.75949,0.56327,0.71329,0.70238,0.67326,0.49767,0.7911,1.27868,0.5406,0.8953,0.00110589,0.00110589,0.00110589
19,130.174,0.60848,0.849,0.53592,0.86623,0.82263,0.75683,0.78586,0.58396,0.69298,0.75,0.69519,0.46026,0.73993,1.06124,0.51099,0.90345,0.00107288,0.00107288,0.00107288
20,136.689,0.5955,0.79364,0.53888,0.85942,0.79249,0.76786,0.78749,0.61034,0.71266,0.71429,0.71,0.50216,0.71704,1.02283,0.51907,0.89712,0.00103987,0.00103987,0.00103987
21,143.381,0.57011,0.76195,0.51157,0.85934,0.74885,0.7381,0.73688,0.56731,0.60883,0.67262,0.58564,0.46537,0.68676,0.90653,0.51325,0.88049,0.00100687,0.00100687,0.00100687
22,150.209,0.60165,0.84863,0.52204,0.87392,0.7589,0.81548,0.77259,0.60401,0.71219,0.70238,0.65957,0.50547,0.68527,1.11856,0.48868,0.89686,0.000973861,0.000973861,0.000973861
23,157.012,0.57019,0.76687,0.49936,0.86507,0.75561,0.79167,0.77021,0.60712,0.6515,0.73214,0.6469,0.48164,0.67908,1.04992,0.46543,0.88368,0.000940855,0.000940855,0.000940855
24,163.785,0.55561,0.76277,0.47446,0.85712,0.87315,0.7619,0.8111,0.61211,0.68195,0.71429,0.68713,0.49941,0.69719,1.12485,0.4941,0.89259,0.000907848,0.000907848,0.000907848
25,170.354,0.56266,0.78659,0.4806,0.86668,0.89815,0.77976,0.82847,0.65014,0.89735,0.71429,0.75757,0.53243,0.62934,0.98934,0.50563,0.87912,0.000874842,0.000874842,0.000874842
26,176.868,0.55778,0.81397,0.46868,0.8601,0.81931,0.75595,0.78768,0.63256,0.72637,0.66071,0.67688,0.48688,0.65433,0.99273,0.50963,0.88107,0.000841835,0.000841835,0.000841835
27,183.705,0.5375,0.7374,0.45934,0.86392,0.85096,0.80357,0.79259,0.603,0.7777,0.73085,0.72153,0.51165,0.75768,0.95992,0.5009,0.89225,0.000808828,0.000808828,0.000808828
28,190.588,0.53293,0.6937,0.46055,0.85916,0.79237,0.79167,0.80018,0.57308,0.68602,0.74395,0.65626,0.49195,0.80471,1.05828,0.52478,0.89916,0.000775822,0.000775822,0.000775822
29,197.246,0.53299,0.76671,0.45389,0.85266,0.85103,0.81028,0.8163,0.64027,0.69089,0.69643,0.68103,0.51997,0.65292,1.37366,0.47739,0.87793,0.000742815,0.000742815,0.000742815
30,203.719,0.50733,0.72727,0.43792,0.85029,0.88884,0.79762,0.82455,0.64451,0.73269,0.72619,0.67686,0.49136,0.66814,1.34113,0.47112,0.87113,0.000709809,0.000709809,0.000709809
31,210.486,0.55138,0.80328,0.45313,0.85438,0.88484,0.77381,0.80693,0.62783,0.79194,0.70833,0.73352,0.50875,0.68898,0.92623,0.4617,0.88918,0.000676802,0.000676802,0.000676802
32,216.988,0.52392,0.68095,0.43224,0.8535,0.82661,0.77976,0.79188,0.61818,0.83757,0.625,0.65876,0.49208,0.69236,0.94395,0.51113,0.88239,0.000643795,0.000643795,0.000643795
33,223.485,0.49485,0.68326,0.41962,0.84408,0.79871,0.77639,0.79609,0.6198,0.78066,0.64286,0.67558,0.51051,0.67652,0.94159,0.5036,0.88172,0.000610789,0.000610789,0.000610789
34,229.942,0.52263,0.70318,0.42978,0.85233,0.82386,0.79689,0.79788,0.63613,0.70863,0.75,0.71234,0.5277,0.66102,1.0326,0.45393,0.87406,0.000577782,0.000577782,0.000577782
35,236.585,0.51325,0.67373,0.42326,0.8421,0.84542,0.82075,0.83012,0.66309,0.71748,0.72619,0.69812,0.51282,0.6201,1.1587,0.48385,0.8708,0.000544776,0.000544776,0.000544776
36,243.325,0.49562,0.69364,0.40783,0.84566,0.80867,0.80952,0.81411,0.64333,0.74252,0.64881,0.67182,0.51613,0.68792,1.08732,0.4767,0.87014,0.000511769,0.000511769,0.000511769
37,250.07,0.47931,0.67149,0.39972,0.84529,0.86533,0.79762,0.81091,0.63596,0.75589,0.64908,0.65521,0.4856,0.61717,1.15591,0.48208,0.86508,0.000478762,0.000478762,0.000478762
38,256.666,0.50493,0.70796,0.41223,0.83941,0.85324,0.79993,0.81433,0.63443,0.70132,0.67262,0.66561,0.51316,0.65919,1.17981,0.44233,0.8651,0.000445756,0.000445756,0.000445756
39,263.471,0.47069,0.63454,0.39789,0.83388,0.87377,0.77882,0.81757,0.65422,0.74349,0.7619,0.72384,0.52104,0.64392,1.16669,0.45971,0.87057,0.000412749,0.000412749,0.000412749
40,270.023,0.4701,0.65664,0.39356,0.84325,0.89626,0.8385,0.83773,0.64014,0.80011,0.73214,0.73454,0.53016,0.69126,0.95184,0.47709,0.86984,0.000379743,0.000379743,0.000379743
41,318.996,0.48683,0.6965,0.42004,0.83097,0.91188,0.82943,0.84235,0.65606,0.72784,0.69048,0.68441,0.49959,0.63938,0.89877,0.49281,0.87164,0.000346736,0.000346736,0.000346736
42,325.534,0.48857,0.68628,0.39667,0.84607,0.92139,0.83929,0.86229,0.65981,0.75386,0.75595,0.73403,0.50546,0.63707,0.93962,0.45412,0.86631,0.000313729,0.000313729,0.000313729
43,331.959,0.47438,0.75226,0.39649,0.83882,0.81903,0.80601,0.83611,0.63528,0.69643,0.69643,0.69658,0.50899,0.65923,0.91463,0.46832,0.87522,0.000280723,0.000280723,0.000280723
44,338.502,0.4388,0.63279,0.38737,0.8287,0.89426,0.80952,0.84233,0.66229,0.75204,0.76786,0.74222,0.5138,0.6342,0.93484,0.43919,0.87624,0.000247716,0.000247716,0.000247716
45,344.795,0.45426,0.68507,0.38787,0.8384,0.87644,0.82474,0.84726,0.65339,0.68455,0.72619,0.67669,0.49929,0.64073,0.93614,0.4516,0.87222,0.00021471,0.00021471,0.00021471
46,351.582,0.44445,0.65881,0.37279,0.83185,0.88283,0.82738,0.8508,0.65935,0.71868,0.72024,0.69837,0.51429,0.63936,0.9481,0.45222,0.87238,0.000181703,0.000181703,0.000181703
47,358.023,0.42479,0.67019,0.3674,0.83776,0.89432,0.82738,0.85784,0.6802,0.76501,0.69496,0.70318,0.50398,0.60722,0.98342,0.42626,0.87018,0.000148696,0.000148696,0.000148696
48,364.434,0.41079,0.67851,0.35982,0.83587,0.90079,0.83286,0.86322,0.68313,0.76507,0.72619,0.72151,0.5124,0.64999,1.01013,0.4245,0.87209,0.00011569,0.00011569,0.00011569
49,371.497,0.42939,0.69801,0.35414,0.83126,0.91462,0.84165,0.87156,0.68393,0.77965,0.70381,0.7139,0.51026,0.60309,0.97267,0.41743,0.87099,8.26832e-05,8.26832e-05,8.26832e-05
50,378.115,0.41845,0.61571,0.35429,0.83523,0.9032,0.84408,0.87279,0.69224,0.77407,0.70833,0.69994,0.50968,0.62965,0.99887,0.42745,0.86656,4.96766e-05,4.96766e-05,4.96766e-05
