epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.234,1.60109,2.40226,2.17396,1.35085,0.99424,0.5,0.62903,0.46002,0.99345,0.5,0.70857,0.49545,1.56385,1.94586,2.79507,1.46015,0.000550375,0.000550375,0.000550375
2,390.921,1.40365,1.98097,1.35128,1.26186,0.78161,0.83953,0.83484,0.57663,0.76781,0.83784,0.8012,0.53925,1.32969,1.82854,1.41008,1.26991,0.00108414,0.00108414,0.00108414
3,586.936,1.39105,1.87277,1.24409,1.25014,0.84207,0.78547,0.80992,0.55169,0.79667,0.75586,0.75763,0.48667,1.40521,1.84118,1.25817,1.43735,0.0015959,0.0015959,0.0015959
4,790.584,1.32556,1.82282,1.13823,1.22807,0.82183,0.85304,0.85744,0.60891,0.81999,0.81947,0.84546,0.55983,1.20933,1.77281,1.03546,1.21459,0.00156798,0.00156798,0.00156798
5,992.566,1.32714,1.74814,1.03316,1.20811,0.83982,0.79899,0.84376,0.58355,0.8184,0.80405,0.83164,0.56855,1.2681,1.70201,1.06012,1.27973,0.00153497,0.00153497,0.00153497
6,1190.4,1.27209,1.7344,0.97085,1.19733,0.89246,0.84459,0.89645,0.6584,0.89888,0.82095,0.87639,0.59035,1.18104,1.60537,0.95011,1.25865,0.00150197,0.00150197,0.00150197
7,1384.9,1.25476,1.76658,0.92306,1.18757,0.85997,0.81926,0.86468,0.62172,0.84943,0.8277,0.87654,0.55038,1.16869,1.73661,0.91146,1.24889,0.00146896,0.00146896,0.00146896
8,1577.74,1.22289,1.65463,0.86895,1.1671,0.91231,0.86149,0.91374,0.65853,0.86481,0.81926,0.85786,0.57751,1.10938,1.6434,0.81038,1.18187,0.00143595,0.00143595,0.00143595
9,1774.28,1.21932,1.62441,0.87625,1.16885,0.85307,0.87838,0.90627,0.63886,0.84191,0.84628,0.87609,0.57825,1.13123,1.62222,0.80258,1.21178,0.00140295,0.00140295,0.00140295
10,1971.41,1.17846,1.53894,0.80833,1.15031,0.9692,0.85385,0.95318,0.65774,0.93917,0.83189,0.93261,0.63063,1.1151,1.51475,0.79778,1.18366,0.00136994,0.00136994,0.00136994
11,2166.38,1.16797,1.61509,0.79896,1.13729,0.89201,0.86318,0.92343,0.68709,0.8871,0.86486,0.92254,0.59896,1.0191,1.51445,0.75339,1.17705,0.00133693,0.00133693,0.00133693
12,2362.43,1.11496,1.55931,0.75822,1.12983,0.9176,0.9165,0.9442,0.70273,0.88217,0.88345,0.90604,0.61748,1.03282,1.49968,0.73858,1.15586,0.00130393,0.00130393,0.00130393
13,2560.35,1.08988,1.4909,0.72097,1.10026,0.95119,0.89189,0.95639,0.70012,0.92967,0.87331,0.933,0.62744,0.98153,1.54094,0.68503,1.15955,0.00127092,0.00127092,0.00127092
14,2760.18,1.09764,1.48281,0.7295,1.12026,0.91478,0.92399,0.95029,0.69463,0.91146,0.92061,0.94085,0.61807,1.05296,1.49341,0.70939,1.1652,0.00123791,0.00123791,0.00123791
15,2960.29,1.09834,1.52577,0.72054,1.11364,0.90657,0.94708,0.95647,0.71047,0.89315,0.91506,0.94286,0.62468,1.04621,1.44155,0.69274,1.15307,0.00120491,0.00120491,0.00120491
16,3156.78,1.06738,1.45799,0.68375,1.10708,0.93036,0.91554,0.96428,0.72771,0.91426,0.8902,0.94269,0.61958,1.01208,1.38689,0.65549,1.15197,0.0011719,0.0011719,0.0011719
